product_id,product_name,category,subcategory,price,cost,stock_quantity,supplier_id,is_discontinued
1,Automated dedicated customer loyalty,Home,Decor,380.62,133.13,92,7,False
2,Programmable incremental open system,Electronics,Tablets,126.41,59.9,492,6,False
3,Operative context-sensitive frame,Electronics,Accessories,116.2,72.31,230,14,False
4,Ameliorated background approach,Home,Decor,573.94,285.22,178,15,False
5,Switchable real-time Local Area Network,Sports,Equipment,396.49,232.95,295,2,False
6,Face-to-face well-modulated archive,Books,Comics,48.58,24.57,299,20,False
7,Polarized tertiary concept,Books,Comics,781.65,273.4,458,3,False
8,Fully-configurable next generation groupware,Clothing,Pants,266.37,138.38,362,9,False
9,Stand-alone heuristic challenge,Clothing,Shirts,380.73,257.98,449,14,False
10,Fully-configurable global Graphical User Interface,Electronics,Tablets,501.76,343.04,77,7,False
11,Exclusive dedicated solution,Books,Comics,63.0,25.28,57,5,False
12,Operative needs-based challenge,Home,Decor,992.06,540.34,326,7,False
13,Organized composite methodology,Books,Non-fiction,230.59,91.21,188,20,False
14,Re-engineered 4thgeneration monitoring,Electronics,Tablets,183.79,110.88,362,12,False
15,Networked heuristic budgetary management,Electronics,Tablets,759.48,310.57,53,9,False
16,Seamless cohesive parallelism,Electronics,Accessories,314.5,219.44,292,8,False
17,Ameliorated modular intranet,Sports,Equipment,433.58,206.26,229,5,False
18,Stand-alone hybrid adapter,Books,Educational,159.46,57.41,493,8,False
19,Pre-emptive content-based support,Electronics,Laptops,613.9,303.26,280,10,False
20,Devolved exuding policy,Clothing,Pants,152.83,65.96,104,17,False
21,Grass-roots object-oriented definition,Electronics,Phones,890.92,412.88,2,15,False
22,Configurable solution-oriented firmware,Sports,Footwear,529.27,269.12,135,11,True
23,Horizontal bandwidth-monitored initiative,Books,Fiction,479.5,246.56,344,18,False
24,Automated leadingedge time-frame,Home,Garden,311.5,196.49,190,9,False
25,Stand-alone real-time Graphic Interface,Books,Non-fiction,305.93,126.61,298,12,False
26,Optional client-driven interface,Clothing,Shoes,699.33,335.8,445,13,False
27,Cross-group directional hub,Electronics,Laptops,478.85,232.69,222,20,False
28,Visionary grid-enabled intranet,Home,Kitchen,459.05,156.29,177,18,False
29,Customizable attitude-oriented array,Sports,Equipment,945.7,514.65,53,10,False
30,Devolved transitional groupware,Home,Kitchen,408.95,161.06,438,8,False
31,Optimized zero tolerance extranet,Books,Educational,996.15,310.0,447,3,False
32,Ergonomic mission-critical architecture,Home,Furniture,394.87,255.06,230,1,False
33,Function-based even-keeled artificial intelligence,Electronics,Phones,279.09,119.3,424,12,False
34,Vision-oriented logistical hierarchy,Clothing,Pants,317.86,210.99,141,6,False
35,Customizable fault-tolerant archive,Electronics,Phones,235.92,113.02,378,4,True
36,Profit-focused logistical secured line,Books,Comics,464.3,212.34,195,8,False
37,Visionary multimedia encoding,Clothing,Shoes,743.0,468.69,219,11,False
38,Triple-buffered optimizing conglomeration,Books,Comics,285.25,157.25,407,9,False
39,Ameliorated heuristic installation,Home,Garden,731.63,278.28,311,10,False
40,Adaptive cohesive policy,Clothing,Shoes,327.88,202.42,399,20,False
41,Function-based value-added utilization,Sports,Apparel,426.76,158.61,430,3,False
42,Front-line national application,Home,Decor,168.48,89.18,267,13,False
43,Reverse-engineered dynamic customer loyalty,Clothing,Shoes,353.57,116.65,494,3,False
44,Triple-buffered 6thgeneration open architecture,Clothing,Accessories,965.34,531.39,27,16,True
45,Programmable coherent productivity,Sports,Footwear,56.68,28.97,417,16,False
46,Intuitive demand-driven groupware,Books,Fiction,64.75,27.33,98,12,False
47,Reduced asynchronous open system,Home,Kitchen,952.17,652.12,453,13,False
48,Visionary disintermediate standardization,Clothing,Accessories,954.2,583.76,422,13,False
49,Vision-oriented multi-state open architecture,Sports,Apparel,28.11,14.24,279,8,False
50,Balanced reciprocal algorithm,Home,Garden,612.1,420.63,456,5,False
51,Multi-tiered asynchronous throughput,Sports,Apparel,97.77,38.09,220,7,False
52,Up-sized needs-based migration,Sports,Accessories,204.29,69.96,495,1,False
53,Exclusive high-level migration,Clothing,Shoes,939.57,359.05,345,14,False
54,Programmable analyzing help-desk,Sports,Footwear,13.34,6.17,68,2,False
55,Object-based multi-tasking adapter,Books,Non-fiction,878.77,422.55,148,13,False
56,Extended zero administration Graphic Interface,Home,Furniture,543.79,294.26,32,6,False
57,Versatile hybrid knowledge user,Home,Garden,979.35,392.61,377,15,False
58,De-engineered 6thgeneration protocol,Electronics,Laptops,568.93,323.66,48,17,False
59,Inverse static leverage,Clothing,Accessories,14.66,6.28,54,1,False
60,Optional systemic parallelism,Electronics,Tablets,733.02,398.4,377,17,False
61,Re-engineered reciprocal encoding,Sports,Apparel,490.48,291.67,219,12,False
62,Integrated holistic website,Home,Decor,540.99,182.35,60,18,False
63,Public-key executive toolset,Electronics,Laptops,554.83,298.74,170,5,False
64,Innovative bi-directional knowledgebase,Books,Educational,521.03,171.26,82,19,False
65,Multi-layered actuating flexibility,Sports,Accessories,644.46,335.41,432,11,True
66,Ameliorated systemic firmware,Home,Garden,749.92,391.42,445,7,False
67,Devolved heuristic capacity,Clothing,Shirts,806.92,542.41,141,17,False
68,Organized context-sensitive Local Area Network,Home,Furniture,631.04,223.86,399,16,False
69,Cross-group motivating hierarchy,Clothing,Accessories,703.17,251.49,413,17,False
70,Fully-configurable motivating utilization,Books,Non-fiction,221.82,84.77,22,19,False
71,Synergistic clear-thinking functionalities,Home,Garden,915.93,451.4,254,20,False
72,Fully-configurable systematic customer loyalty,Clothing,Accessories,122.06,63.06,60,10,False
73,Up-sized zero-defect Graphical User Interface,Books,Educational,533.68,227.92,362,19,False
74,Profit-focused discrete matrices,Sports,Equipment,234.97,128.11,411,10,False
75,Synergistic heuristic structure,Home,Kitchen,884.59,393.6,287,20,False
76,Organic actuating conglomeration,Home,Furniture,490.38,215.25,68,19,False
77,Sharable local paradigm,Clothing,Shoes,324.9,189.51,281,12,False
78,Assimilated asymmetric frame,Home,Furniture,206.93,108.95,485,10,False
79,Inverse systemic moderator,Sports,Footwear,598.79,222.6,256,11,False
80,Multi-tiered fresh-thinking definition,Clothing,Pants,655.63,333.88,196,3,False
81,Streamlined 4thgeneration ability,Clothing,Accessories,347.87,147.09,44,9,False
82,Multi-tiered bi-directional superstructure,Clothing,Accessories,283.16,150.03,57,16,False
83,Implemented secondary moratorium,Electronics,Tablets,300.48,198.3,243,10,False
84,Self-enabling global monitoring,Clothing,Pants,507.94,349.1,317,4,True
85,Versatile coherent solution,Clothing,Shoes,384.92,130.67,437,8,False
86,Cross-platform grid-enabled synergy,Clothing,Accessories,519.82,208.49,260,8,False
87,Enhanced web-enabled circuit,Sports,Apparel,252.85,128.47,351,7,False
88,Quality-focused foreground structure,Home,Decor,850.72,342.7,82,17,False
89,Polarized high-level methodology,Electronics,Accessories,364.68,113.82,55,14,True
90,Adaptive secondary algorithm,Sports,Apparel,331.05,151.47,295,15,False
